P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_ESI,P_SEMI_MAJOR_AXIS,P_PERIOD,P_ECCENTRICITY,P_FLUX,P_RADIUS,P_MASS,P_DENSITY,P_GRAVITY,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,S_TEMPERATURE,S_LUMINOSITY,S_TYPE_TEMP,S_TIDAL_LOCK
TOI-1260 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,0.26044049,0.0657,7.493134,0,29.91364,2.76,13.2,0.62783668,1.7328292,595.75408,595.75408,672.81062,672.81062,4227,0.12912193,K,0.43192361
HD 28109 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.20694534,0.308,56.00819,0.1203,30.34339,4.23,7.943,0.10494541,0.4439191,563.84169,636.29287,636.77059,718.59281,6120,2.8575905,F,0.39256701
TOI-238 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2024,0.28487692,0.02118,1.2730991,0.18,766.12592,1.402,3.4,1.2337719,1.7297482,1228.6996,1473.94,1387.6232,1664.5836,5059,0.33806484,K,0.4217081
TOI-1470 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.27249568,0.0285,2.527093,0.3,48.505343,2.18,7.32,0.70654788,1.5402744,582.7142,794.1056,658.08413,896.81749,3709,0.03758374,M,0.29056815
V1298 Tau b,Transit,K2,2019,0.11439136,0.1688,24.1396,0.29,35.021205,10.27,203.41018,0.1877852,1.928554,539.65802,727.41845,609.45893,821.50484,5050,0.95499259,K,0.19692931
WASP-70 A b,Transit,SuperWASP,2014,0.070202469,0.04853,3.7130203,0,616.56578,13.047,187.512,0.084430056,1.1015589,1269.3885,1269.3885,1433.5749,1433.5749,5763,1.4521116,G,0.53903848
HAT-P-18 b,Transit,HATNet,2010,0.090927687,0.0559,5.508023,0.084,86.639115,11.153,62.61,0.045130339,0.50333867,745.81165,811.32726,842.27707,916.26665,4803,0.26977394,K,0.49883704
HD 86226 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.24944255,0.049,3.98442,0.075,492.98391,2.16,7.25,0.71941047,1.5539266,1156.9043,1247.1848,1306.5416,1408.4992,5863,1.1803206,G,0.46439179
HATS-6 b,Transit,HATSouth,2015,0.095913301,0.03623,3.3252725,0,60.515041,11.187,101.38777,0.072417688,0.81013668,710.50239,710.50239,802.4008,802.4008,3724,0.079432823,M,0.42033668
K2-107 b,Transit,K2,2017,0.057873065,0.0475,3.313959,0,1290.0685,15.98,266.9772,0.065425018,1.0454918,1526.6972,1526.6972,1724.1646,1724.1646,6061,2.9107171,F,0.49690204
GJ 436 b,Radial Velocity,W. M. Keck Observatory,2004,0.20789076,0.0291,2.6438831,0.13827,31.003146,4.17,22.1,0.30477835,1.2709257,562.05727,645.97782,634.75537,729.53044,3586.11,0.026001596,M,0.37492926
Kepler-18 d,Transit,Kepler,2011,0.13274712,0.1172,14.85888,0,67.786744,6.98,16.4,0.048225593,0.33661464,730.94703,730.94703,825.48981,825.48981,5345,0.93110788,G,0.51977504
WASP-132 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.26387166,0.0182,1.011534,0.13,770.11995,1.85,37.35,5.8989596,10.913075,1259.7222,1435.6692,1422.6583,1621.3628,4714,0.2529298,K,0.39974346
WASP-36 b,Transit,SuperWASP,2011,0.061641258,0.02677,1.537366,0.019,1398.8839,14.874,750.39663,0.22803817,3.3918397,1543.2576,1572.8634,1742.867,1776.3021,5959,1.0023052,G,0.38819871
WASP-133 b,Transit,SuperWASP-South,2016,0.066760969,0.0345,2.176423,0.17,1720.7978,13.563,368.6828,0.14776977,2.0042014,1511.288,1794.325,1706.7623,2026.4082,5700,2.0183664,G,0.51736334
55 Cnc e,Radial Velocity,McDonald Observatory,2004,0.2613764,0.01544,0.7365474,0.05,2668.3879,1.875,7.99,1.2121126,2.2727111,1786.2055,1877.8645,2017.2384,2120.7529,5172,0.63533093,G,0.51051127
HAT-P-69 b,Transit,HATNet,2019,0.049648215,0.06555,4.7869491,0,2327.312,18.786,1137.8314,0.17162279,3.2241058,1769.3484,1769.3484,1998.201,1998.201,7394,10,A,0.43989947
HAT-P-1 b,Transit,HATNet,2006,0.063168333,0.05561,4.4652998,0,542.86796,14.785,166.86075,0.051628583,0.7633286,1229.6266,1229.6266,1388.6701,1388.6701,5980,1.678804,G,0.4639892
HAT-P-36 b,Transit,HATNet,2011,0.063609167,0.0241,1.3273468,0.063,1814.803,14.314,587.41341,0.20029072,2.8669613,1611.8497,1716.8067,1820.331,1938.8634,5620,1.0519619,G,0.49479796
WASP-5 b,Transit,SuperWASP,2008,0.073399944,0.0267,1.6284279,0.038,1637.9146,12.184,502.15,0.27762834,3.3826237,1590.3598,1651.9867,1796.0615,1865.6594,5700,1.1668096,G,0.46742745
HATS-24 b,Transit,HATSouth,2017,0.058575136,0.0238,1.3484978,0,2734.2995,15.637,718.2958,0.18786376,2.9376257,1842.0916,1842.0916,2080.353,2080.353,6125,1.5488166,F,0.45504364
TOI-564 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.077668164,0.02734,1.651144,0.072,1447.2101,11.433,464.98529,0.31114197,3.5572862,1516.5372,1629.9582,1712.6904,1840.7817,5640,1.0789467,G,0.49824771
HATS-30 b,Transit,HATSouth,2016,0.069507373,0.04354,3.1743516,0.096,662.57288,13.171,224.38798,0.098207202,1.2934871,1233.1055,1357.7546,1392.5988,1533.3705,5943,1.250259,G,0.42298176
HAT-P-12 b,Transit,HATNet,2009,0.088733732,0.0384,3.2130598,0,142.34347,10.749,67.059,0.053994918,0.58039137,879.90158,879.90158,993.71057,993.71057,4650,0.20989399,K,0.37525152
TOI-481 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.082638,0.097,10.33111,0.153,292.81962,11.097,486.2799,0.35585212,3.948891,978.47377,1141.6215,1105.0324,1289.2821,5735,2.7227013,G,0.51310422
Kepler-435 b,Transit,Kepler,2015,0.042630862,0.0948,8.6001536,0.114,1507.3839,22.31,266.97,0.024041621,0.53636857,1501.4226,1683.5603,1695.6209,1901.3168,6161,13.458604,F,0.47289222
K2-136 d,Transit,K2,2017,0.44553947,0.1538,25.575,0.071,7.0824699,1.565,3,0.78266917,1.2248773,401.30707,430.88729,453.21327,486.61949,4500,0.16710906,K,0.3011533
HAT-P-9 b,Transit,HATNet,2008,0.059392693,0.05287,3.9228107,0.084,939.98084,15.614,238.05467,0.062536588,0.97644628,1353.569,1472.4729,1528.6435,1662.9268,6350,2.618183,F,0.42006338
HATS-42 b,Transit,HATSouth,2018,0.058526786,0.03689,2.292102,0.229,2008.5357,15.693,597.5204,0.15460901,2.4262793,1527.9862,1929.1598,1725.6203,2178.6828,6060,2.6607251,F,0.47173237
K2-132 b,Transit,K2,2017,0.062991844,0.0916,9.1751,0.29,1092.1569,14.572,155.7367,0.050330759,0.73341982,1275.2846,1718.9878,1440.2336,1941.3266,4840,8.7700082,K,0.52432743
WASP-76 b,Transit,SuperWASP,2016,0.045586607,0.033,1.809886,0,4487.1658,20.512,292.4036,0.033881193,0.69497103,2084.9361,2084.9361,2354.6077,2354.6077,6250,4.8865236,F,0.53586464
K2-290 c,Transit,K2,2019,0.11435476,0.305,48.36685,0,28.274851,11.276,246.00042,0.17158157,1.9347538,587.42143,587.42143,663.4002,663.4002,6302,2.630268,F,0.47762145
WASP-90 b,Transit,SuperWASP,2016,0.051251405,0.0562,3.916243,0,1350.6019,18.271,200.2329,0.032828307,0.59980599,1544.2996,1544.2996,1744.0437,1744.0437,6430,4.2657952,F,0.52996133
K2-284 b,Transit,K2,2018,0.24752379,0.04771,4.795069,0.078,42.766758,2.78,8.15,0.37933527,1.054552,626.95392,677.92171,708.04593,765.60604,4140,0.097050997,K,0.21537827
NGTS-2 b,Transit,Paranal Observatory,2018,0.052468776,0.063,4.511164,0,1077.2559,17.878,235.1942,0.041159473,0.73584906,1459.4171,1459.4171,1648.1823,1648.1823,6478,4.2756289,F,0.48000903
Kepler-105 b,Transit,Kepler,2013,0.15553724,0.066,5.4122,0.47,1052.2417,4.81,5.1,0.045828427,0.22043473,1159.8961,1931.7006,1309.9203,2181.5522,6397,4.0457589,F,0.47076558
HATS-41 b,Transit,HATSouth,2018,0.061498985,0.0583,4.193649,0.38,1430.6306,14.908,3082.951,0.93048306,13.871641,1307.9041,1951.28,1477.0721,2203.6641,6424,4.4977985,F,0.42997122
Qatar-1 b,Transit,Qatar,2010,0.071178641,0.02332,1.4200242,0,670.72255,12.812,411.27202,0.19555926,2.5055052,1296.3893,1296.3893,1464.068,1464.068,5013,0.36475395,K,0.34746342
TOI-421 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.17762407,0.1189,16.06819,0.152,38.611096,5.09,16.42,0.12451446,0.63377863,589.90563,687.5604,666.20572,776.49143,5325,0.53951062,G,0.49228786
K2-136 c,Transit,K2,2017,0.30565293,0.1185,17.30713,0.047,11.913614,3,18.1,0.67037037,2.0111111,462.39933,484.66771,522.20738,547.35602,4500,0.16710906,K,0.3011533
WASP-132 b,Transit,SuperWASP-South,2016,0.10490419,0.067,7.133514,0.07,56.482906,10.05,130.3103,0.12837503,1.2901691,674.71508,723.72043,761.98466,817.3285,4714,0.2529298,K,0.39974346
KELT-24 b,Transit,KELT-North,2019,0.064648655,0.06969,5.5514926,0.077,758.49089,14.258,1646.3594,0.56800063,8.098553,1287.2314,1390.4764,1453.7256,1570.3246,6509,3.672823,F,0.38936618
HATS-39 b,Transit,HATSouth,2018,0.053080376,0.06007,4.5776348,0.275,1258.2318,17.598,200.2329,0.036740537,0.64655997,1330.5028,1764.4197,1502.5939,1992.6348,6572,4.3651583,F,0.44925791
KOI-94 d,Transit,Kepler,2013,0.087961158,0.1684,22.342989,0.022,106.27251,11.27,106,0.074051544,0.8345609,809.00875,827.0071,913.64826,933.97457,6182,3.013006,F,0.47051775
HD 332231 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.099557841,0.1436,18.71204,0.032,97.929513,9.718,77.55052,0.084499479,0.82116593,788.73777,814.39446,890.75538,919.73057,6089,2.0183664,F,0.47514817
HAT-P-59 b,Transit,HATNet,2021,0.073103653,0.05064,4.1419771,0.03,441.78211,12.588,489.45575,0.2453823,3.0888724,1150.6262,1185.6786,1299.4515,1339.0377,5678,1.1324004,G,0.49990303
TOI-1296 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,0.066204338,0.0497,3.9443715,0.055,995.27957,13.798,94.71287,0.036054591,0.49748125,1392.5003,1471.3148,1572.6102,1661.6189,5603,2.4547089,G,0.52010973
KOI-94 b,Transit,Kepler,2013,0.27017899,0.05119,3.743208,0.25,1187.5287,1.71,10.5,2.0999114,3.5908485,1326.7898,1712.8783,1498.4006,1934.4269,6182,3.013006,F,0.47051775
Qatar-10 b,Transit,Qatar,2019,0.053513535,0.0286,1.645321,0,2439.3153,17.295,233.92288,0.045217964,0.78204469,1790.2624,1790.2624,2021.8201,2021.8201,6124,1.9952623,F,0.45628462
Kepler-76 b,Orbital Brightness Modulation,Kepler,2013,0.059826668,0.0274,1.5449298,0,3762.6938,15.244,638.8383,0.18034086,2.749116,1995.1448,1995.1448,2253.2026,2253.2026,6409,2.82488,F,0.35103509
WASP-160 B b,Transit,SuperWASP-South,2018,0.077117409,0.0452,3.7684952,0,235.35484,12.218,88.35674,0.048443925,0.59188787,997.77012,997.77012,1126.8246,1126.8246,5298,0.48083935,K,0.49915109
HD 97658 b,Radial Velocity,W. M. Keck Observatory,2010,0.27277788,0.0805,9.4897116,0.05,54.194072,2.12,8.3,0.87110501,1.8467426,674.30615,708.90815,761.52284,800.60035,5212,0.35075187,K,0.42514974
WASP-164 b,Transit,SuperWASP-South,2018,0.071393956,0.02818,1.7771255,0,1079.24,12.644,676.9779,0.33490454,4.234533,1460.0886,1460.0886,1648.9407,1648.9407,5806,0.85703785,G,0.44453852
HD 5278 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,0.24274745,0.1202,14.339156,0.08,132.30775,2.45,7.8,0.53039125,1.2994586,830.68353,900.0229,938.12651,1016.4344,6203,1.9054607,F,0.44747749
K2-237 b,Transit,K2,2018,0.056926338,0.03558,2.1805354,0.042,1857.6825,16.197,433.20012,0.10194943,1.651275,1637.9962,1708.2994,1849.8593,1929.2557,6360,2.3496328,F,0.38765767
HAT-P-25 b,Transit,HATNet,2010,0.073314167,0.0466,3.6528151,0.023,324.59593,12.722,180.84527,0.087829615,1.1173684,1068.9784,1093.8543,1207.2431,1235.3365,5519,0.70469307,G,0.43570274
WASP-93 b,Transit,SuperWASP,2016,0.051880876,0.04211,2.7325321,0,2340.0736,17.901,467.2101,0.081447985,1.4580004,1771.769,1771.769,2000.9346,2000.9346,6700,4.1495404,F,0.37070211
TOI-892 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.07710188,0.092,10.62656,0.125,321.25068,11.994,301.9385,0.17499529,2.0988935,1014.7978,1150.6726,1146.0547,1299.5039,6261,2.6977394,F,0.44296078
HD 108236 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.25832924,0.062,6.203449,0.034,184.27558,2.071,4.94,0.55614323,1.1517726,922.87652,954.80636,1042.244,1078.3037,5660,0.70794578,G,0.46889657
WASP-156 b,Transit,SuperWASP,2017,0.14237201,0.0453,3.836169,0.007,178.98401,5.717,40.68224,0.21772098,1.2447108,928.50848,935.03095,1048.6044,1055.9705,4910,0.3672823,K,0.45991891
WASP-98 b,Transit,SuperWASP,2014,0.072970782,0.03762,2.9626404,0.07,310.61974,12.823,293.03926,0.13898146,1.7821593,1033.2334,1108.2783,1166.8747,1251.6262,5473,0.4385307,G,0.39350217
WASP-192 b,Transit,WASP-South,2019,0.066106718,0.0408,2.8786765,0,1149.9519,13.787,731.009,0.27894167,3.8457688,1483.4388,1483.4388,1675.311,1675.311,5910,1.9142559,G,0.49205405
HD 108236 f,Transit,CHaracterising ExOPlanets Satellite (CHEOPS),2021,0.30952833,0.1758,29.54115,0.051,22.936534,2.017,4.72,0.57520719,1.1601929,543.61185,572.08053,613.92416,646.07506,5660,0.70794578,G,0.46889657
HAT-P-66 b,Transit,HATNet,2016,0.052124728,0.04363,2.972086,0.09,2173.6801,17.822,248.86089,0.043963001,0.78350861,1664.3469,1821.5303,1879.6183,2057.1323,6002,4.1209752,G,0.49935876
WASP-47 d,Transit,K2,2015,0.19705539,0.085,9.03055,0.01,148.99918,3.567,14.2,0.31288087,1.1160461,885.58359,894.48415,1000.1275,1010.1793,5552,1.0764652,G,0.49513259
HIP 65 A b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.042747978,0.01782,0.9809734,0,660.97434,22.754,1021.1878,0.086682684,1.9723778,1291.653,1291.653,1458.7191,1458.7191,4590,0.20989399,K,0.41660104
EPIC 211945201 b,Transit,K2,2018,0.14596648,0.1493,19.49221,0,105.8962,5.76,27,0.14128508,0.81380208,817.18391,817.18391,922.88081,922.88081,6069,2.3604782,G,0.47473247
TOI-561 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.28240928,0.0106,0.4465688,0,4746.6616,1.425,2,0.69117083,0.98491844,2114.4469,2114.4469,2387.9355,2387.9355,5372,0.5333349,G,0.49730019
HAT-P-45 b,Transit,HATNet,2014,0.057899457,0.0452,3.128992,0.049,1230.9634,15.984,283.492,0.069419966,1.1096087,1472.7965,1546.8216,1663.2922,1746.892,6330,2.5118864,F,0.43369727
HATS-25 b,Transit,HATSouth,2016,0.066175304,0.05163,4.2986432,0.176,445.68548,14.123,194.82979,0.069163105,0.97679054,1075.0904,1284.3549,1214.1457,1450.477,5715,1.1694994,G,0.49882336
HAT-P-50 b,Transit,HATNet,2015,0.063080652,0.0453,3.1220109,0.115,1966.5026,14.437,429.0705,0.14259286,2.0586132,1603.8479,1800.2341,1811.2942,2033.0815,6280,4.0086672,F,0.47434872
K2-233 c,Transit,K2,2018,0.30762666,0.06666,7.06005,0.2002,68.889316,1.281,12.81,6.09399,7.8064012,666.48479,816.44391,752.68984,922.0451,5033,0.29991625,K,0.27892297
HATS-68 b,Transit,HATSouth,2018,0.065787328,0.05071,3.5862202,0.036,1520.878,13.809,410.0007,0.15570333,2.1501073,1562.6907,1619.9977,1764.8136,1829.5328,6147,3.908409,F,0.47533951
Qatar-7 b,Transit,Qatar,2019,0.048911431,0.0352,2.032046,0,2950.6295,19.055,597.5204,0.086362634,1.64564,1877.4932,1877.4932,2120.3336,2120.3336,6387,3.6559479,F,0.43780326
HD 110113 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,0.25391742,0.035,2.541,0.093,761.64078,2.05,4.55,0.52814091,1.0826889,1278.6616,1403.6604,1444.0473,1585.2138,5732,0.92896639,G,0.45071447
TOI-837 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.1048012,0.083464306,8.3248762,0,157.76056,8.631,381.396,0.59318858,5.1198107,902.81614,902.81614,1019.589,1019.589,6047,1.0990058,G,0.21247549
NGTS-6 b,Transit,Paranal Observatory,2019,0.062090133,0.01677,0.882059,0,909.77474,14.863,425.57437,0.12961523,1.9264711,1399.0498,1399.0498,1580.0069,1580.0069,4730,0.25585859,K,0.47940678
HATS-2 b,Transit,HATSouth,2013,0.069306947,0.023,1.354133,0,1019.8689,13.092,427.463,0.19049367,2.4939431,1439.58,1439.58,1625.7794,1625.7794,5227,0.53951062,K,0.5006271
KELT-23 A b,Transit,KELT-North,2019,0.062115995,0.03302,2.255251,0,991.84969,14.83,298.12454,0.091405909,1.3555496,1429.5889,1429.5889,1614.496,1614.496,5899,1.081434,G,0.47748982
WASP-180 A b,Transit,SuperWASP,2019,0.065898031,0.048,3.409264,0,896.43236,13.899,286.047,0.10653363,1.4807109,1393.8919,1393.8919,1574.1819,1574.1819,6600,2.0653802,F,0.40247245
WASP-147 b,Transit,SuperWASP-South,2018,0.072797886,0.0549,4.60273,0,642.47364,12.498,87.40325,0.044771951,0.55955984,1282.5182,1282.5182,1448.4028,1448.4028,5702,1.936422,G,0.51746763
WASP-89 b,Transit,SuperWASP,2015,0.07986484,0.0427,3.3564227,0.193,253.73902,11.657,1875.197,1.1838223,13.799816,926.43627,1126.4165,1046.2642,1272.1104,5130,0.45394162,K,0.36347789
TOI-157 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.063626305,0.03138,2.0845435,0,1063.3938,14.415,375.0394,0.12520825,1.804877,1454.6993,1454.6993,1642.8543,1642.8543,5404,1.0471285,G,0.53799806
TOI-421 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.2300217,0.056,5.19672,0.163,174.36984,2.68,7.17,0.37249013,0.99827356,855.49178,1008.4235,966.14353,1138.8559,5325,0.53951062,G,0.49228786
TOI-125 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2019,0.22719779,0.05186,4.65382,0.194,196.63702,2.726,9.5,0.46897107,1.2784151,868.82296,1057.4648,981.19901,1194.2404,5320,0.51880004,K,0.46824787
pi Men c,Transit,Transiting Exoplanet Survey Satellite (TESS),2018,0.25604224,0.069,6.26791,0.077,304.50408,2.06,3.63,0.41524553,0.85540579,1024.6306,1106.8132,1157.1592,1249.9715,6037,1.4454398,G,0.46369962
TOI-1259 A b,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,0.083702604,0.0407,3.477978,0,155.17122,11.456,140.16233,0.093224979,1.0679854,899.08863,899.08863,1015.3793,1015.3793,4775,0.25703958,K,0.42025119
HATS-43 b,Transit,HATSouth,2018,0.074036752,0.04944,4.3888497,0.173,166.12742,13.227,82.95363,0.035846878,0.47414665,841.22365,1001.8616,950.02992,1131.4452,5099,0.39994475,K,0.48313408
WASP-80 b,Transit,SuperWASP,2012,0.092150701,0.0344,3.0678523,0.002,77.069756,11.198,170.99254,0.12177434,1.363629,754.02653,755.5361,851.55448,853.2593,4143,0.091201084,K,0.41262022
CoRoT-19 b,Transit,CoRoT,2011,0.063265151,0.0518,3.89713,0.047,1305.6317,14.46,352.78,0.11668071,1.6872031,1496.103,1568.1528,1689.6132,1770.9822,6090,3.4994517,F,0.49848064
HAT-P-13 b,Transit,HATNet,2009,0.064167182,0.04383,2.91625,0.0133,1154.7699,14.258,270.462,0.09331048,1.3304208,1475.1798,1494.9319,1665.9838,1688.2907,5653,2.2181964,G,0.51315018
HAT-P-35 b,Transit,HATNet,2011,0.061765066,0.04978,3.646706,0.02,974.93821,14.93,335.62848,0.10085081,1.5057026,1409.3608,1437.8356,1591.6515,1623.8093,6096,2.4154608,F,0.47356188
HAT-P-68 b,Transit,HATNet,2020,0.079413065,0.02996,2.2984055,0.041,185.47343,12.016,230.10892,0.13263364,1.5937258,921.19896,959.77515,1040.3495,1083.9152,4508,0.16634127,K,0.46983818
WASP-45 b,Transit,SuperWASP,2011,0.085810718,0.03963,3.126089,0.043,294.00433,10.604,306.38812,0.25695837,2.7247865,1032.6319,1078.0321,1166.1954,1217.4679,5150,0.46131757,K,0.51760497
WASP-173 A b,Transit,SuperWASP-South,2018,0.067174568,0.0248,1.3866532,0,1968.3242,13.451,1172.7927,0.48190068,6.482046,1696.7735,1696.7735,1916.239,1916.239,5800,1.2105981,G,0.50021827
KELT-21 b,Transit,KELT-North,2018,0.052117928,0.05224,3.6127647,0,2944.3787,17.777,1242.7153,0.22120566,3.932373,1876.4981,1876.4981,2119.2097,2119.2097,7598,8.0352612,A,0.43889684
KOI-94 e,Transit,Kepler,2013,0.15590844,0.3046,54.32031,0.019,32.480193,6.56,35,0.1239814,0.81331797,602.41762,613.97439,680.33604,693.3876,6182,3.013006,F,0.47051775
Qatar-8 b,Transit,Qatar,2019,0.064082713,0.0474,3.71495,0,752.39052,14.404,117.91493,0.039456582,0.56833261,1334.1681,1334.1681,1506.7332,1506.7332,5738,1.6904409,G,0.51406369
HATS-40 b,Transit,HATSouth,2018,0.052252333,0.04997,3.2642736,0.312,3371.4767,17.71,505.3497,0.090977988,1.6112202,1673.124,2310.4726,1889.5306,2609.3157,6460,7.9983426,F,0.46837614
WASP-123 b,Transit,SuperWASP,2016,0.062586936,0.04263,2.9776412,0,799.0415,14.773,285.72917,0.088623416,1.3092337,1354.3847,1354.3847,1529.5647,1529.5647,5740,1.4521116,G,0.52010973
HATS-64 b,Transit,HATSouth,2018,0.049722146,0.06562,4.908897,0.151,1729.5616,18.82,305.1168,0.045772777,0.86144367,1526.8414,1777.7789,1724.3275,2007.7219,6554,7.362071,F,0.46014082
HAT-P-55 b,Transit,HATNet,2015,0.062796476,0.04628,3.5852313,0.17,592.354,14.841,189.42573,0.057949471,0.8600281,1157.6042,1374.4027,1307.3321,1552.1718,5804,1.250259,G,0.47703461
WASP-21 b,Transit,SuperWASP,2010,0.075224591,0.052,4.322482,0,744.72051,11.99,95.345,0.055314676,0.66322297,1330.7548,1330.7548,1502.8784,1502.8784,5800,2.0137242,G,0.54307795
HD 63433 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.26413249,0.1448,20.543791,0.21,36.58109,2.521,6.9,0.43065605,1.0856839,566.33414,700.89326,639.58542,791.5488,5688,0.74989421,G,0.30780095
HATS-35 b,Transit,HATSouth,2016,0.056043266,0.03199,1.8209993,0.306,2994.4716,16.41,388.38826,0.087890179,1.4422778,1628.8122,2234.4099,1839.4874,2523.4149,6300,2.917427,F,0.44512236
TOI-1266 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.45212485,0.0736,10.894843,0.09,4.8754019,2.37,13.5,1.0141186,2.403461,362.19926,396.4059,409.04714,447.67817,3600,0.02630268,M,0.38687161
HAT-P-62 b,Transit,HATNet,2021,0.074814943,0.03772,2.6453235,0.101,871.13031,12.027,241.86742,0.13902901,1.6721019,1317.2561,1457.7533,1487.6337,1646.3032,5629,1.2331048,G,0.51031586
WASP-42 b,Transit,SuperWASP,2012,0.078418033,0.0561,4.9816819,0.062,138.64704,12.576,167.49641,0.084212763,1.0590597,847.82461,902.12529,957.48468,1018.8088,5315,0.43551187,G,0.45016821
HATS-57 b,Transit,HATSouth,2019,0.071421576,0.03493,2.350621,0.028,660.34841,12.767,1000.211,0.48064569,6.1364036,1273.5144,1309.6863,1438.2344,1479.0849,5587,0.80537844,G,0.42088222
G 9-40 b,Transit,K2,2019,0.41388817,0.0385,5.746007,0,7.212379,2.025,11.7,1.4089993,2.8532236,417.4643,417.4643,471.46033,471.46033,3348,0.010690549,M,0.34697381
WASP-127 b,Transit,SuperWASP,2016,0.062868978,0.0484,4.178062,0,805.95218,14.695,52.3466,0.01649604,0.24240931,1357.3037,1357.3037,1532.8612,1532.8612,5620,1.8879913,G,0.52765126
WASP-175 b,Transit,WASP-South,2019,0.066576873,0.04403,3.0652907,0,3173.2379,13.54,314.6517,0.12675762,1.7162982,1911.9449,1911.9449,2159.2413,2159.2413,6229,6.1517687,F,0.41826597
WASP-131 b,Transit,SuperWASP-South,2016,0.066816891,0.0607,5.322023,0,919.65009,13.675,85.8141,0.033556499,0.45888513,1402.831,1402.831,1584.2772,1584.2772,6030,3.3884416,G,0.46866467
HATS-45 b,Transit,HATSouth,2018,0.063804699,0.05511,4.1876244,0.24,902.44665,14.415,222.481,0.074276082,1.0706897,1244.5824,1589.7459,1405.5603,1795.3682,6450,2.6607251,F,0.41540017
WASP-121 b,Transit,SuperWASP,2016,0.047357482,0.02596,1.274925,0,6537.1827,19.649,367.72747,0.048473538,0.95245654,2290.59,2290.59,2586.8615,2586.8615,6776,4.4055486,F,0.42405255
HATS-7 b,Transit,HATSouth,2015,0.13091228,0.04012,3.185315,0.17,232.08452,6.311,38.1396,0.15173354,0.95759038,915.85415,1087.3771,1034.3133,1228.0216,4985,0.36812897,K,0.47721444
HATS-72 b,Transit,HATSouth,2020,0.12504644,0.066517,7.3279474,0.013,49.564576,8.097,39.85588,0.07507926,0.60791677,671.55047,680.33812,758.41073,768.335,4656.1,0.21928049,K,0.48851836
KELT-4 A b,Transit,KELT,2016,0.049152311,0.04317,2.9895932,0,1839.2294,19.044,286.68266,0.041507532,0.79046943,1668.2406,1668.2406,1884.0156,1884.0156,6206,3.4276779,F,0.4873591
TOI-776 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.47504892,0.1,15.6653,0.04,4.9017111,2.02,5.3,0.64301597,1.2988923,371.60628,386.78007,419.6709,436.80732,3709,0.048977882,M,0.41024049
Kepler-410 A b,Transit,Kepler,2013,0.22288522,0.1226,17.833648,0.17,183.8176,2.838,8.44,0.36923705,1.0478947,863.99563,1025.8065,975.74729,1158.4872,6273,2.7227013,F,0.45147961
K2-233 b,Transit,K2,2018,0.29042712,0.03308,2.4675,0.079,274.93401,1.343,11.26,4.6484734,6.2428998,997.82926,1080.0333,1126.8914,1219.7279,5033,0.29991625,K,0.27892297
HD 106315 b,Transit,K2,2017,0.23819246,0.0907,9.55237,0.093,273.32018,2.44,12.6,0.86736335,2.1163666,989.65993,1086.4067,1117.6654,1226.9256,6327,2.2387211,F,0.47269391
TOI-1130 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.10477208,0.07191,8.350231,0.0457,27.094142,13.32,325.69,0.1378135,1.8356758,568.20037,594.78856,641.69303,671.72021,4350,0.13995873,K,0.40374603
WASP-19 b,Transit,SuperWASP,2009,0.057760215,0.01652,0.78883852,0.0126,3319.0546,15.861,366.77398,0.091919324,1.4579324,1921.4351,1945.7997,2169.959,2197.475,5616,0.9057326,G,0.4825164
K2-113 b,Transit,K2,2017,0.077304468,0.0642,5.817685,0,247.70225,12.14,410.0007,0.22915458,2.7819366,1010.6068,1010.6068,1141.3215,1141.3215,5660,1.0209395,G,0.4872045
