P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_ESI,P_SEMI_MAJOR_AXIS,P_PERIOD,P_ECCENTRICITY,P_FLUX,P_RADIUS,P_MASS,P_DENSITY,P_GRAVITY,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,S_TEMPERATURE,S_LUMINOSITY,S_TYPE_TEMP,S_TIDAL_LOCK
HD 118203 b,Radial Velocity,Haute-Provence Observatory,2005,0.071190366,0.07071,6.134985,0.314,874.13515,12.733,688.41633,0.33347167,4.2460948,1192.7835,1650.8105,1347.0615,1864.3311,5683,4.1495404,K,0.50915121
K2-138 d,Transit,K2,2017,0.24448437,0.05893,5.40479,0.043,148.8432,2.39,7.92,0.58013822,1.3865303,871.04248,909.33838,983.70561,1026.9548,5356.3,0.51641637,G,0.41603237
K2-138 c,Transit,K2,2017,0.24509515,0.04461,3.56004,0.045,259.76206,2.299,6.31,0.51929297,1.1938545,1000.1738,1046.2414,1129.5391,1181.5653,5356.3,0.51641637,G,0.41603237
CoRoT-18 b,Transit,CoRoT,2011,0.062970643,0.0295,1.9000693,0.08,779.38165,14.68,1102.82,0.34859926,5.1174372,1294.1268,1402.151,1461.5128,1583.5092,5440,0.67608298,G,0.19814861
TOI-3331 A b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.070092099,0.03144,2.0180231,0,816.64804,12.98,721.47048,0.32990925,4.282222,1361.7847,1361.7847,1537.9218,1537.9218,5609,0.80723503,G,0.40750047
WASP-178 b,Transit,WASP-South,2019,0.046016687,0.0558,3.3448285,0,5269.0413,20.288,527.5978,0.063180821,1.2818125,2170.3642,2170.3642,2451.0853,2451.0853,9360,16.405898,A,0.39608922
TOI-3023 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.056592048,0.0505,3.9014971,0,1089.9768,16.432,197.05361,0.044413308,0.72979947,1463.7066,1463.7066,1653.0266,1653.0266,5760,2.7797133,G,0.51382337
TOI-199 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.35469111,0.4254,104.854,0.09,2.5478337,9.079,54.03083,0.072198403,0.6554893,307.95532,337.03909,347.78715,380.63269,5255,0.45919801,G,0.33763629
NGTS-14 A b,Transit,Paranal Observatory,2021,0.15456246,0.0403,3.5357173,0,300.87764,4.977,29.24036,0.23718094,1.1804496,1060.9555,1060.9555,1198.1826,1198.1826,5187,0.48865236,K,0.46428111
TOI-2498 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.13151119,0.0491,3.738252,0.089,777.25565,6.06,34.62,0.15556403,0.94271803,1287.6417,1407.8286,1454.1889,1589.9211,5905,1.8663797,G,0.45991891
WASP-184 b,Transit,WASP-South,2019,0.062073733,0.0627,5.1817,0,806.24107,14.908,181.1631,0.05467787,0.81513769,1357.4253,1357.4253,1532.9986,1532.9986,6000,3.1695675,G,0.49606987
Kepler-427 b,Transit,Kepler,2014,0.068879189,0.091,10.290994,0.57,286.57161,13.79,92.17,0.03514769,0.48468665,796.39621,1521.7552,899.40438,1718.5833,5800,1.9498446,G,0.48808814
TOI-2141 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.23139134,0.133,18.26157,0.21,51.533601,3.05,24,0.84588578,2.5799516,616.99437,763.5902,696.79819,862.35514,5659,0.89125094,G,0.47748982
TOI-2587 A b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.074804561,0.0635,5.45664,0,733.58856,12.072,69.28659,0.039383246,0.47543454,1325.7537,1325.7537,1497.2305,1497.2305,5760,2.9580125,G,0.51460016
TOI-908 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.20464016,0.041657,3.183792,0.132,530.20149,3.186,16.137,0.4989827,1.5897589,1146.3903,1309.1694,1294.6677,1478.5011,5626,0.91201084,G,0.45351572
K2-114 b,Transit,K2,2017,0.10920912,0.0943,11.390931,0.081,40.49543,10.447,638.8351,0.56029144,5.8533647,617.56264,669.78606,697.43996,756.41811,4920,0.35892193,K,0.4727299
TOI-1710 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.17496913,0.16,24.283429,0.16,35.268858,5.34,28.3,0.18585004,0.99243923,574.52737,675.14969,648.83839,762.47549,5665,0.89125094,G,0.45134477
CoRoT-9 b,Transit,CoRoT,2009,0.28548484,0.4021,95.272656,0.133,3.4770213,11.949,266.9772,0.15648744,1.8698684,326.07516,372.7547,368.25066,420.96786,5625,0.55718575,G,0.475708
Kepler-1704 b,Transit,Kepler,2013,0.37129808,2.027,988.88112,0.92,1.7583159,11.949,1322.1662,0.77498154,9.2602544,167.50286,820.59306,189.16816,926.73092,5746,2.831392,G,0.52014322
Kepler-1513 b,Transit,Kepler,2016,0.35489142,0.5416,160.8842,0.306,2.6606722,8.594,48.30992,0.076111498,0.65410221,281.2152,385.77195,317.58838,435.6688,5491,0.74301914,G,0.48467483
HATS-28 b,Transit,HATSouth,2016,0.06949063,0.04131,3.1810781,0.202,416.80789,13.384,213.58176,0.089085368,1.1923186,1044.4073,1281.8012,1179.4939,1447.593,5498,0.69662651,G,0.47327958
Kepler-1990 b,Transit,Kepler,2023,0.19996268,0.0286,1.7351362,0,1600.5452,3.27,10.7,0.30601345,1.000664,1611.264,1611.264,1819.6695,1819.6695,5751,1.3091819,G,0.42088222
HATS-61 b,Transit,HATSouth,2018,0.069721617,0.07908,7.817953,0.092,375.58863,13.395,1080.622,0.44962003,6.0226603,1072.0254,1175.6376,1210.6842,1327.6979,5542,2.3388372,G,0.52836141
HATS-75 b,Transit,HATSouth,2021,0.10507043,0.032742,2.7886556,0.064,59.38556,9.909,156.05375,0.16039275,1.5893317,685.2141,730.56554,773.84166,825.05898,3790.4,0.063533093,M,0.47330341
CoRoT-16 b,Transit,CoRoT,2011,0.078561072,0.0618,5.35227,0.33,101.87317,13.11,170.032,0.075461006,0.98929378,691.71891,974.58129,781.18782,1100.6364,5650,0.3672823,G,0.50740909
HD 15337 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2019,0.278591,0.1268,17.1784,0.05,29.397137,2.39,8.11,0.59405568,1.4197931,578.68927,608.3847,653.5386,687.07491,5125,0.47206304,K,0.45314171
TOI-858 B b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.065172644,0.04435,3.2797178,0.15,920.7768,14.067,349.61125,0.12559748,1.7667798,1304.8301,1517.7262,1473.6006,1714.0333,5842,1.7906059,G,0.50518554
TOI-5153 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.083483332,0.158,20.33003,0.091,117.08237,11.882,1036.1206,0.61764889,7.3389042,801.41744,877.9893,905.07507,991.55095,6300,2.9107171,F,0.50905459
TOI-558 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,0.077638483,0.1291,14.574071,0.298,221.48362,12.173,1147.3606,0.63607313,7.7429182,852.60768,1159.3593,962.8864,1309.3141,6466,3.5237087,F,0.43565724
TOI-2136 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.50033629,0.057,7.851928,0,4.0017531,2.19,6.37,0.60646688,1.3281625,360.29836,360.29836,406.90038,406.90038,3342,0.013001696,M,0.32199128
TOI-1338 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,0.21668304,0.4607,95.174,0.088,10.089083,6.85,33,0.10266968,0.70328734,434.83666,474.94485,491.07968,536.37558,6050,2.1330449,F,0.47697223
HD 63935 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,0.22063823,0.082994894,9.058811,0,115.85032,2.99,10.8,0.40402682,1.2080402,835.74545,835.74545,943.84316,943.84316,5534,0.79799469,G,0.48062236
HATS-38 b,Transit,HATSouth,2020,0.12013012,0.05036,4.375021,0,465.40233,6.882,23.51942,0.072157687,0.4965892,1183.1964,1183.1964,1336.2344,1336.2344,5732,1.1803206,G,0.5198585
TOI-778 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.059647418,0.06,4.633611,0.21,1634.9003,15.4,878,0.24039883,3.702142,1464.3045,1812.2184,1653.7018,2046.6159,6643,5.7543994,F,0.44730795
TOI-712 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.5111131,0.2447,51.69906,0.089,3.1365985,2.701,7.76,0.39381111,1.0636838,324.54041,354.83262,366.5174,400.72769,4622,0.18706821,K,0.31225697
TOI-1859 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,0.12093196,0.337,63.48347,0.57,32.14076,9.752,68.6,0.073967857,0.72133454,460.87689,880.64431,520.48803,994.54936,6341,2.9991625,F,0.41237398
K2-99 b,Transit,K2,2016,0.078162762,0.1597,18.251985,0.19,365.06835,11.73,308.2951,0.19101725,2.2406323,1016.0703,1231.5576,1147.4918,1390.8508,6217,9.1411324,G,0.48714238
Kepler-1047 b,Transit,Kepler,2016,0.29206196,0.2939,56.188689,0,30.732708,2.09,5.02,0.54987612,1.1492411,599.79096,599.79096,677.36964,677.36964,5754,2.6546056,G,0.47106844
CoRoT-20 b,Transit,CoRoT,2011,0.095756334,0.09,9.24285,0.59,226.16453,9.416,1366.669,1.6370577,15.414536,742.64266,1462.4685,838.69819,1651.6284,5880,1.4791084,G,0.25460081
HD 15337 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2019,0.28026515,0.0522,4.75615,0.09,173.95025,1.64,7.51,1.7025834,2.7922368,885.21998,968.82149,999.71687,1094.1316,5125,0.47206304,K,0.45314171
K2-102 b,Transit,K2,2016,0.32897371,0.082772538,9.915615,0.1,32.315424,1.3,2.24,1.0195721,1.3254438,578.37596,639.41868,653.18476,722.12292,4695,0.22029265,K,0.31525326
NGTS-20 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2022,0.09475755,0.313,54.18915,0.432,49.976478,11.994,947.12865,0.54892984,6.5838645,551.57685,875.79684,622.91938,989.07491,5980,4.4157045,G,0.5145899
K2-287 b,Transit,K2,2018,0.10789021,0.1206,14.893291,0.478,61.042585,9.494,100.11645,0.11699243,1.1107261,567.00755,954.09321,640.34592,1077.4984,5695,0.77983011,G,0.46866467
Kepler-1047 c,Transit,Kepler,2016,0.29388703,0.0434,3.188976,0,1409.3555,0.99,0.937,0.96568171,0.9560249,1560.8273,1560.8273,1762.7091,1762.7091,5754,2.6546056,G,0.47106844
Kepler-1514 b,Transit,Kepler,2016,0.26062504,0.753,217.83184,0.401,4.0971095,12.42,1678.1424,0.87591915,10.878916,299.55954,458.13008,338.30543,517.38594,6145,2.128139,F,0.4539607
Kepler-1385 b,Transit,Kepler,2016,0.29143357,0.0415,2.8887986,0,1636.454,0.85,0.543,0.88418482,0.75155709,1620.2262,1620.2262,1829.7909,1829.7909,5732,2.8183829,G,0.47922304
Kepler-1388 b,Transit,Kepler,2016,0.34164524,0.0882,12.28546,0,10.047611,2.59,7.22,0.41556399,1.0763107,453.53981,453.53981,512.20195,512.20195,4098,0.07816278,K,0.39360107
Kepler-1314 b,Transit,Kepler,2016,0.32868495,0.0504,5.4247493,0,5.059865,5.11,22.9,0.17162193,0.87698806,382.06252,382.06252,431.47959,431.47959,4188,0.012852867,K,0.40706285
Kepler-1394 b,Transit,Kepler,2016,0.28420479,0.0555,3.9376637,0,2100.9419,1.39,2.51,0.93460763,1.2991046,1724.6589,1724.6589,1947.7312,1947.7312,6481,6.4714262,F,0.46990675
Kepler-142 d,Transit,Kepler,2014,0.3045392,0.242,41.809118,0,21.845866,2.16,5.31,0.52690615,1.1381173,550.73417,550.73417,621.96771,621.96771,5790,1.2793813,G,0.50629722
Kepler-1421 b,Transit,Kepler,2016,0.29449132,0.0762,6.9131112,0,684.05348,0.93,0.749,0.93117857,0.86599607,1302.7834,1302.7834,1471.2892,1471.2892,6335,3.9719155,F,0.45612474
Kepler-144 c,Transit,Kepler,2014,0.29152006,0.094,10.104665,0,216.64282,1.35,2.39,0.97139664,1.3113855,977.31774,977.31774,1103.7268,1103.7268,6075,1.9142559,F,0.37094719
Kepler-1452 b,Transit,Kepler,2016,0.23931307,0.2697,42.913751,0,72.316618,2.7,7.75,0.39374079,1.0631001,742.86387,742.86387,838.94801,838.94801,6101,5.2601727,F,0.48796504
Kepler-1185 b,Transit,Kepler,2016,0.40875936,0.4297,104.3519,0,10.367387,1.33,2.33,0.99037803,1.3172028,457.10612,457.10612,516.22953,516.22953,5622,1.9142559,G,0.37963875
Kepler-1313 b,Transit,Kepler,2016,0.27264358,0.046,3.8330912,0,223.60646,1.76,3.75,0.68784924,1.2106147,985.07839,985.07839,1112.4913,1112.4913,5453,0.47315126,G,0.41031068
Kepler-225 c,Transit,Kepler,2014,0.4085451,0.111,18.794234,0,8.1913228,1.84,4.04,0.64852675,1.1932892,430.96125,430.96125,486.70301,486.70301,3682,0.10092529,M,0.35788288
Kepler-1638 b,Transit,Kepler,2016,0.75706411,0.745,259.33683,0,1.3857582,1.87,4.16,0.63616315,1.1896251,276.38952,276.38952,312.13853,312.13853,5710,0.76913044,G,0.45278878
Kepler-880 b,Transit,Kepler,2016,0.22588461,0.0915,7.7146897,0,553.55122,2.66,7.56,0.40167693,1.0684606,1235.632,1235.632,1395.4522,1395.4522,6761,4.6344692,F,0.44159804
Kepler-784 c,Transit,Kepler,2023,0.27991698,0.1309,17.157236,0,419.87567,1.55,3.02,0.81098318,1.2570239,1153.1343,1153.1343,1302.284,1302.284,5676,7.1944898,G,0.5174146
Kepler-1652 b,Transit,Kepler,2017,0.82580569,0.1654,38.09722,0,0.84125758,1.6,3.19,0.77880859,1.2460937,243.96749,243.96749,275.52294,275.52294,3638,0.023014418,M,0.3199655
Kepler-186 f,Transit,Kepler,2014,0.6108342,0.432,129.9441,0.04,0.29470006,1.17,1.71,1.0676737,1.2491782,184.00989,191.52357,207.81026,216.29577,3755,0.054954087,M,0.36702819
Kepler-327 d,Transit,Kepler,2014,0.44157953,0.09,13.969457,0,6.7844552,1.73,3.64,0.70301254,1.2162117,411.12932,411.12932,464.30597,464.30597,3799,0.054954087,M,0.36072535
Kepler-353 c,Transit,Kepler,2014,0.36900822,0.065,8.410894,0,15.387685,1.38,2.48,0.94365756,1.3022474,504.53701,504.53701,569.79527,569.79527,3903,0.065012969,K,0.35923531
Kepler-368 c,Transit,Kepler,2014,0.22033473,0.36,72.379334,0,28.144595,3.88,14.3,0.2448166,0.9498884,586.74373,586.74373,662.63485,662.63485,5502,3.6475395,G,0.52376909
Kepler-367 b,Transit,Kepler,2014,0.48717781,0.201,37.815724,0,5.9787155,1.3,2.24,1.0195721,1.3254438,398.33795,398.33795,449.86012,449.86012,4710,0.24154608,K,0.36116062
Kepler-393 b,Transit,Kepler,2014,0.2907136,0.091,9.182417,0,403.56846,1.29,2.21,1.0294924,1.3280452,1141.771,1141.771,1289.4509,1289.4509,6189,3.3419504,F,0.4330716
Kepler-401 b,Transit,Kepler,2014,0.2745355,0.122,14.383035,0,247.33202,1.71,3.57,0.71396987,1.2208885,1010.2289,1010.2289,1140.8948,1140.8948,6117,3.6812897,F,0.465577
Kepler-401 d,Transit,Kepler,2016,0.37503964,0.6503,184.25641,0,8.7050745,2.27,5.77,0.49328538,1.1197578,437.56526,437.56526,494.1612,494.1612,6184,3.6812897,F,0.46201216
Kepler-419 b,Transit,Kepler,2014,0.095976514,0.37,69.7546,0.833,70.413687,10.8,794.5,0.63069972,6.8115569,470.0755,1557.3657,530.87641,1758.7999,6430,5.333349,F,0.41654448
